id,batting_average,batting_strike_rate,batting_100s_normalized,batting_50s_normalized,batting_6s_normalized,batting_4s_normalized,batting_highest_score,batting_not_outs_normalized,bowling_average,bowling_strike_rate,bowling_economy,bowling_maidens_normalized,identifier
227758,13.03,143.64,0.0,0.0,0.2162162162162162,0.945945945945946,47.0,0.2972972972972973,23.49,22.2,6.33,0.0147058823529411,9cb8d7a6
1273278,9.33,60.86,0.0,0.0,0.1428571428571428,0.4285714285714285,17.0,0.1428571428571428,0.0,0.0,0.0,0.0,1283e17b
568276,10.5,84.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,40c041ea
420432,4.0,33.33,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,ea45f98b
637486,9.8,96.07,0.0,0.0,0.0,0.5,40.0,0.1666666666666666,0.0,0.0,11.2,0.0,90ddee48
24109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a417a09
1093638,17.9,95.21,0.0,0.2,0.8,1.0,58.0,0.0,0.0,0.0,0.0,0.0,5d60560f
1314048,25.6,101.58,0.0,0.0,0.1111111111111111,1.2222222222222223,0.0,0.4444444444444444,36.83,28.0,7.89,0.0,b8e65260
1143529,13.85,108.98,0.0,0.0,0.25,0.5,26.0,0.4166666666666667,27.8,20.8,8.0,0.0432900432900432,a9a18e3e
1093672,9.0,75.0,0.0,0.0,0.75,0.25,22.0,0.0,14.66,16.0,5.5,0.0,c10747c3
1058209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,33.0,10.27,0.0,e95eb01b
1159861,13.33,95.23,0.0,0.0,0.3333333333333333,1.3333333333333333,32.0,0.0,14.75,15.0,5.9,0.0,6464a804
1122396,10.0,120.0,0.0,0.0,0.3333333333333333,1.0,17.0,0.0,20.8,14.4,8.66,0.0,cc3fb3b3
40582,10.85,108.57,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,480ed517
943275,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,35.71,26.5,8.06,0.0,0226b73a
1198941,12.66,95.0,0.0,0.0,0.3333333333333333,1.3333333333333333,19.0,0.0,0.0,0.0,0.0,0.0,1b8242f2
